Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,isim_temiz_x,isim_temiz_fuzzy,isim_temiz_y,Piyasa_Degeri
410,Jerome Opoku,ghÂ GHA,DF,Başakşehir,27-201,1998,30,29,"2,559",28.Nis,0,1,1,0,0,0,9,0,0.0,0.04,0.04,0.00,0.04,Matches,jerome opoku,jerome opoku,jerome opoku,5.00 mil. €
411,Nicholas Opoku,ghÂ GHA,DF,Kasımpaşa,28-176,1997,28,24,"2,255",25.Oca,0,0,0,0,0,0,5,0,0.0,0.0,0.00,0.00,0.00,Matches,nicholas opoku,nicholas opoku,nicholas opoku,1.50 mil. €
415,Victor Osimhen,ngÂ NGA,FW,Galatasaray,27-125,1998,21,18,"1,618",18.0,13,5,18,12,1,1,7,0,0.72,0.28,1.00,0.67,0.95,Matches,victor osimhen,victor osimhen,victor osimhen,75.00 mil. €
417,Berkay Özcan,trÂ TUR,MF,Fatih Karagümrük,28-077,1998,30,23,"2,13",23.Tem,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.00,0.04,Matches,berkay ozcan,berkay ozcan,berkay ozcan,1.50 mil. €
419,Ogün Özçiçek,,MF,Gaziantep FK,27-099,1999,20,13,"1,162",12.Eyl,0,0,0,0,0,0,4,0,0.0,0.0,0.00,0.00,0.00,Matches,ogun ozcicek,ogun ozcicek,ogun ozcicek,500 bin €
420,Berat Özdemir,trÂ TUR,"MF,DF",Başakşehir,27-345,1998,17,10,918,10.Åub,0,0,0,0,0,0,2,0,0.0,0.0,0.00,0.00,0.00,Matches,berat ozdemir,berat ozdemir,berat ozdemir,3.00 mil. €
421,Yusuf Özdemir,trÂ TUR,MF,Alanyaspor,25-113,2001,11,10,906,10.Oca,1,1,2,1,0,0,1,0,0.1,0.1,0.20,0.10,0.20,Matches,yusuf ozdemir,yusuf ozdemir,yusuf ozdemir,-
427,Kenneth Paal,srÂ SUR,"DF,MF",Antalyaspor,28-313,1997,31,30,"2,685",29.AÄu,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,kenneth paal,kenneth paal,kenneth paal,2.50 mil. €
428,Mithat Pala,trÂ TUR,"DF,MF",Rizespor,25-261,2000,28,19,"1,769",19.Tem,2,0,2,2,0,0,1,0,0.1,0.0,0.10,0.10,0.10,Matches,mithat pala,mithat pala,mithat pala,1.80 mil. €
429,Giannis Papanikolaou,grÂ GRE,MF,Rizespor,27-166,1998,29,22,"1,804",20.0,1,0,1,1,0,0,6,1,0.05,0.0,0.05,0.05,0.05,Matches,giannis papanikolaou,giannis papanikolaou,giannis papanikolaou,1.50 mil. €
432,Pedro Pereira,ptÂ POR,DF,Gençlerbirliği,28-101,1998,27,27,"2,43",27.0,0,1,1,0,0,0,11,0,0.0,0.04,0.04,0.00,0.04,Matches,pedro pereira,pedro pereira,pedro pereira,1.20 mil. €
433,Luis Pérez,esÂ ESP,"MF,DF",Gaziantep FK,31-088,1995,24,20,"1,654",18.Nis,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.00,0.05,Matches,luis perez,luis perez,luis perez,1.00 mil. €
434,Bruno Petković,hrÂ CRO,FW,Kocaelispor,31-229,1994,18,15,"1,334",14.AÄu,7,0,7,5,2,2,2,0,0.47,0.0,0.47,0.34,0.34,Matches,bruno petkovic,bruno petkovic,bruno petkovic,2.00 mil. €
436,Wagner Pina,cvÂ CPV,DF,Trabzonspor,23-181,2002,30,27,"2,36",26.Åub,0,7,7,0,0,0,4,1,0.0,0.27,0.27,0.00,0.27,Matches,wagner pina,wagner pina,wagner pina,8.00 mil. €
437,Lenny Pintor,frÂ FRA,"MF,FW",Eyüpspor,25-271,2000,13,9,697,7.Tem,0,0,0,0,0,0,2,0,0.0,0.0,0.00,0.00,0.00,Matches,lenny pintor,lenny pintor,lenny pintor,200 bin €
440,Denis Radu,roÂ ROU,"MF,FW",Eyüpspor,23-039,2003,12,4,413,4.Haz,0,2,2,0,0,0,2,1,0.0,0.44,0.44,0.00,0.44,Matches,denis radu,denis radu,denis radu,400 bin €
442,Milot Rashica,xkÂ KVX,MF,Beşiktaş,29-309,1996,25,8,986,11.0,1,3,4,1,0,0,1,0,0.09,0.27,0.37,0.09,0.37,Matches,milot rashica,milot rashica,milot rashica,4.00 mil. €
444,Rigoberto Rivas,hnÂ HON,"MF,FW",Kocaelispor,27-276,1998,19,12,"1,013",11.Mar,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches,rigoberto rivas,rigoberto rivas,rigoberto rivas,1.20 mil. €
446,Kévin Rodrigues,ptÂ POR,"DF,MF",Gaziantep FK,32-059,1994,26,24,"2,104",23.Nis,2,2,4,2,0,0,7,1,0.09,0.09,0.17,0.09,0.17,Matches,kevin rodrigues,kevin rodrigues,kevin rodrigues,1.00 mil. €
448,Ruan,brÂ BRA,MF,Alanyaspor,21-000,2005,26,24,"2,066",23.0,1,1,2,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matches,ruan,ruan,ruan,2.00 mil. €
453,Ramzi Safouri,ilÂ ISR,MF,Antalyaspor,30-194,1995,22,19,"1,564",17.Nis,1,5,6,1,0,0,7,0,0.06,0.29,0.35,0.06,0.35,Matches,ramzi safouri,ramzi safuri,ramzi safuri,900 bin €
456,Modibo Sagnan,mlÂ MLI,DF,Rizespor,27-019,1999,18,16,"1,363",15.Oca,1,0,1,1,0,0,6,0,0.07,0.0,0.07,0.07,0.07,Matches,modibo sagnan,modibo sagnan,modibo sagnan,2.00 mil. €
459,Roland Sallai,huÂ HUN,"DF,MF",Galatasaray,28-346,1997,28,25,"2,243",24.Eyl,1,3,4,1,0,0,4,1,0.04,0.12,0.16,0.04,0.16,Matches,roland sallai,roland sallai,roland sallai,12.00 mil. €
460,Davinson Sánchez,coÂ COL,DF,Galatasaray,29-325,1996,29,28,"2,329",25.Eyl,1,0,1,1,0,0,5,1,0.04,0.0,0.04,0.04,0.04,Matches,davinson sanchez,davinson sanchez,davinson sanchez,18.00 mil. €
461,Leroy Sané,deÂ GER,MF,Galatasaray,30-112,1996,26,25,"2,146",23.AÄu,7,5,12,7,0,0,1,1,0.29,0.21,0.50,0.29,0.50,Matches,leroy sane,leroy sane,leroy sane,22.00 mil. €
462,Nazim Sangaré,trÂ TUR,DF,Gaziantep FK,31-338,1994,13,11,966,10.Tem,0,0,0,0,0,0,4,1,0.0,0.0,0.00,0.00,0.00,Matches,nazim sangare,nazım sangare,nazım sangare,200 bin €
463,Juan Santos,brÂ BRA,FW,Göztepe,24-058,2002,30,28,"2,391",26.Haz,11,4,15,11,0,2,5,1,0.41,0.15,0.56,0.41,0.56,Matches,juan santos,juan,juan,8.00 mil. €
464,Gabriel Sara,brÂ BRA,MF,Galatasaray,26-311,1999,27,21,"1,834",20.Nis,5,4,9,5,0,0,1,0,0.25,0.2,0.44,0.25,0.44,Matches,gabriel sara,gabriel sara,gabriel sara,22.00 mil. €
465,Veysel Sarı,trÂ TUR,DF,Antalyaspor,37-282,1988,21,21,"1,848",20.May,1,1,2,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,veysel sarı,veysel sarı,veysel sarı,100 bin €
466,Yusuf Sari,trÂ TUR,MF,Başakşehir,27-164,1998,20,17,"1,382",15.Nis,0,6,6,0,0,0,1,0,0.0,0.39,0.39,0.00,0.39,Matches,yusuf sari,yusuf sarı,yusuf sarı,3.50 mil. €
467,Talha Sarıarslan,trÂ TUR,FW,Kayserispor,22-105,2004,13,1,155,1.Tem,2,2,4,2,0,0,1,0,,,Åub.32,Oca.16,Åub.32,Matches,talha sarıarslan,talha sarıarslan,talha sarıarslan,500 bin €
468,Dario Šarić,baÂ BIH,MF,Antalyaspor,28-338,1997,22,15,"1,359",15.Oca,1,1,2,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,Matches,dario saric,dario saric,dario saric,700 bin €
469,Ľubomír Šatka,skÂ SVK,DF,Samsunspor,30-152,1995,25,24,"2,095",23.Mar,0,1,1,0,0,0,1,0,0.0,0.04,0.04,0.00,0.04,Matches,lubomir satka,lubomir satka,lubomir satka,1.80 mil. €
470,Stefan Savić,meÂ MNE,DF,Trabzonspor,35-115,1991,22,20,"1,756",19.May,1,1,2,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches,stefan savic,stefan savic,stefan savic,500 bin €
471,Gökhan Sazdağı,trÂ TUR,DF,Beşiktaş,31-225,1994,17,14,"1,305",14.May,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,gokhan sazdagı,gokhan sazdagı,gokhan sazdagı,1.50 mil. €
473,Davie Selke,deÂ GER,FW,Başakşehir,31-103,1995,22,14,"1,106",12.Mar,9,0,9,7,2,2,5,1,0.73,0.0,0.73,0.57,0.57,Matches,davie selke,davie selke,davie selke,3.00 mil. €
474,Nélson Semedo,ptÂ POR,DF,Fenerbahçe,32-168,1993,24,24,"1,84",20.Nis,1,2,3,1,0,0,7,0,0.05,0.1,0.15,0.05,0.15,Matches,nelson semedo,nelson semedo,nelson semedo,7.00 mil. €
476,Muhammed Şengezer,trÂ TUR,GK,Başakşehir,29-118,1997,31,31,"2,79",31.0,0,1,1,0,0,0,0,0,0.0,0.03,0.03,0.00,0.03,Matches,muhammed sengezer,muhammed sengezer,muhammed sengezer,2.50 mil. €
479,Eldor Shomurodov,uzÂ UZB,"MF,FW",Başakşehir,30-308,1995,32,32,"2,736",30.Nis,20,4,24,18,2,2,0,0,0.66,0.13,0.79,0.59,0.72,Matches,eldor shomurodov,eldor shomurodov,eldor shomurodov,7.00 mil. €
480,Show,aoÂ ANG,MF,Kocaelispor,27-058,1999,27,22,"2,049",22.AÄu,0,0,0,0,0,0,10,1,0.0,0.0,0.00,0.00,0.00,Matches,show,show,show,1.50 mil. €
482,Jota Silva,ptÂ POR,MF,Beşiktaş,26-275,1999,16,5,516,5.Tem,3,0,3,3,0,0,1,0,0.52,0.0,0.52,0.52,0.52,Matches,jota silva,jota silva,jota silva,12.00 mil. €
484,Wilfried Singo,ciÂ CIV,DF,Galatasaray,25-129,2000,18,10,861,9.Haz,2,1,3,2,0,0,2,0,0.21,0.1,0.31,0.21,0.31,Matches,wilfried singo,wilfried singo,wilfried singo,25.00 mil. €
485,Doğukan Sınık,trÂ TUR,MF,Antalyaspor,27-102,1999,18,7,740,8.Åub,0,2,2,0,0,0,5,1,0.0,0.24,0.24,0.00,0.24,Matches,dogukan sınık,dogukan sinik,dogukan sinik,1.00 mil. €
486,Guilherme Sityá,ptÂ POR,"DF,MF",Konyaspor,36-032,1990,22,21,"1,858",20.Haz,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.00,0.05,Matches,guilherme sitya,guilherme,guilherme,300 bin €
488,Milan Škriniar,skÂ SVK,DF,Fenerbahçe,31-081,1995,24,24,"2,115",23.May,2,0,2,2,0,0,6,0,0.09,0.0,0.09,0.09,0.09,Matches,milan skriniar,milan skriniar,milan skriniar,11.00 mil. €
489,Hrvoje Smolčić,hrÂ CRO,DF,Kocaelispor,25-259,2000,24,24,"2,046",22.Tem,1,1,2,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09,Matches,hrvoje smolcic,hrvoje smolcic,hrvoje smolcic,2.00 mil. €
490,Deian Sorescu,roÂ ROU,"MF,DF",Gaziantep FK,28-247,1997,23,14,"1,373",15.Mar,3,1,4,2,1,2,3,0,0.2,0.07,0.26,0.13,0.20,Matches,deian sorescu,deian sorescu,deian sorescu,1.80 mil. €
492,Ali Sowe,gmÂ GAM,FW,Rizespor,31-323,1994,30,24,"2,125",23.Haz,6,4,10,6,0,0,2,0,0.25,0.17,0.42,0.25,0.42,Matches,ali sowe,ali sowe,ali sowe,1.50 mil. €
493,Furkan Soyalp,trÂ TUR,MF,Kayserispor,30-325,1995,25,21,"1,701",18.Eyl,1,0,1,1,0,0,7,0,0.05,0.0,0.05,0.05,0.05,Matches,furkan soyalp,furkan soyalp,furkan soyalp,400 bin €
498,Nikola Storm,beÂ BEL,"MF,FW",Antalyaspor,31-215,1994,26,20,"1,55",17.Åub,4,1,5,4,0,0,1,0,0.23,0.06,0.29,0.23,0.29,Matches,nikola storm,nikola storm,nikola storm,1.50 mil. €
499,Sander van de Streek,nlÂ NED,"FW,MF",Antalyaspor,33-040,1993,28,26,"2,098",23.Mar,6,3,9,6,0,0,5,1,0.26,0.13,0.39,0.26,0.39,Matches,sander van de streek,sander van de streek,sander van de streek,600 bin €
506,Muhammet Taha Şahin,,"DF,MF",Rizespor,25-193,2000,27,19,"1,791",19.Eyl,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,Matches,muhammet taha sahin,taha sahin,taha sahin,3.00 mil. €
508,Tayyib Talha Sanuç,trÂ TUR,DF,Gaziantep FK,26-137,1999,18,16,"1,333",14.AÄu,0,0,0,0,0,0,4,0,0.0,0.0,0.00,0.00,0.00,Matches,tayyib talha sanuc,tayyip talha sanuc,tayyip talha sanuc,1.80 mil. €
509,Talisca,brÂ BRA,"MF,FW",Fenerbahçe,32-091,1994,29,23,"1,865",20.Tem,19,4,23,14,5,8,2,0,0.92,0.19,1.Kas,0.68,0.87,Matches,talisca,talisca,talisca,8.00 mil. €
511,Ilter Tashkin,azÂ AZE,MF,Eyüpspor,31-302,1994,19,10,876,9.Tem,0,0,0,0,0,0,6,0,0.0,0.0,0.00,0.00,0.00,Matches,ilter tashkin,taskın ilter,taskın ilter,150 bin €
512,Ertuğrul Taşkıran,trÂ TUR,GK,Alanyaspor,36-179,1989,20,20,"1,8",20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.00,0.00,0.00,Matches,ertugrul taskıran,ertugrul taskıran,ertugrul taskıran,100 bin €
513,Elayis Tavsan,nlÂ NED,"MF,FW",Samsunspor,25-003,2001,13,6,641,7.Oca,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,elayis tavsan,elayis tavsan,elayis tavsan,1.50 mil. €
515,Dorukhan Toköz,trÂ TUR,"MF,DF",Kayserispor,29-347,1996,23,14,"1,13",12.Haz,0,0,0,0,0,0,5,1,0.0,0.0,0.00,0.00,0.00,Matches,dorukhan tokoz,dorukhan tokoz,dorukhan tokoz,800 bin €
516,Logi Tómasson,isÂ ISL,DF,Samsunspor,25-232,2000,28,25,"2,166",24.Oca,1,4,5,1,0,0,5,0,0.04,0.17,0.21,0.04,0.21,Matches,logi tomasson,logi tomasson,logi tomasson,2.50 mil. €
517,Franco Tongya,itÂ ITA,MF,Gençlerbirliği,24-051,2002,25,24,"2,006",22.Mar,3,2,5,3,0,0,5,1,0.13,0.09,0.22,0.13,0.22,Matches,franco tongya,franco tongya,franco tongya,2.00 mil. €
518,Emir Topçu,trÂ TUR,DF,Beşiktaş,25-204,2000,20,19,"1,65",18.Mar,1,0,1,1,0,0,9,0,0.05,0.0,0.05,0.05,0.05,Matches,emir topcu,emirhan topcu,emirhan topcu,6.00 mil. €
519,Lucas Torreira,uyÂ URU,MF,Galatasaray,30-081,1996,29,27,"2,123",23.Haz,3,4,7,3,0,0,5,0,0.13,0.17,0.30,0.13,0.30,Matches,lucas torreira,lucas torreira,lucas torreira,12.00 mil. €
520,Ángel Torres,coÂ COL,"MF,FW",Eyüpspor,26-027,2000,11,6,545,6.Oca,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.00,0.17,Matches,angel torres,angel torres,angel torres,300 bin €
522,Cenk Tosun,trÂ TUR,FW,Kasımpaşa,34-330,1991,10,4,356,4.0,1,0,1,1,0,0,3,0,0.25,0.0,0.25,0.25,0.25,Matches,cenk tosun,cenk tosun,cenk tosun,500 bin €
523,Adama Traoré,mlÂ MLI,"MF,FW",Gençlerbirliği,30-332,1995,13,8,823,9.Oca,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.00,0.11,Matches,adama traore,adama traore,adama traore,2.00 mil. €
524,Ahmed Traore,ciÂ CIV,MF,Fatih Karagümrük,19-020,2007,12,2,282,3.Oca,1,0,1,1,0,0,1,0,0.32,0.0,0.32,0.32,0.32,Matches,ahmed traore,ahmed traore,ahmed traore,250 bin €
525,Indrit Tuci,alÂ ALB,"FW,MF",Kayserispor,25-231,2000,17,4,608,6.AÄu,2,0,2,2,0,0,1,0,0.3,0.0,0.30,0.30,0.30,Matches,indrit tuci,indrit tuci,indrit tuci,700 bin €
526,Ozan Tufan,trÂ TUR,"MF,DF",Trabzonspor,31-041,1995,23,13,"1,252",13.Eyl,1,2,3,1,0,0,3,0,0.07,0.14,0.22,0.07,0.22,Matches,ozan tufan,ozan tufan,ozan tufan,1.50 mil. €
527,Muhammet Tunahan Taşçı,trÂ TUR,MF,Konyaspor,24-004,2002,13,0,223,2.May,1,1,2,1,0,0,1,0,0.4,0.4,0.81,0.40,0.81,Matches,muhammet tunahan tascı,tunahan tascı,tunahan tascı,700 bin €
528,Hüseyin Türkmen,trÂ TUR,DF,Antalyaspor,28-122,1998,17,13,"1,16",12.Eyl,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,Matches,huseyin turkmen,huseyin turkmen,huseyin turkmen,300 bin €
529,Deniz Turuc,trÂ TUR,MF,Konyaspor,33-094,1993,12,12,968,10.AÄu,1,1,2,1,0,0,7,0,0.09,0.09,0.19,0.09,0.19,Matches,deniz turuc,deniz turuc,deniz turuc,600 bin €
530,Deniz Turuc,trÂ TUR,MF,Başakşehir,33-094,1993,12,5,475,5.Mar,0,1,1,0,0,0,2,0,0.0,0.19,0.19,0.00,0.19,Matches,deniz turuc,deniz turuc,deniz turuc,600 bin €
531,Salih Uçan,trÂ TUR,MF,Beşiktaş,32-117,1994,18,5,516,5.Tem,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,salih ucan,salih ucan,salih ucan,1.00 mil. €
533,Hwang Ui-jo,krÂ KOR,"MF,FW",Alanyaspor,33-248,1992,30,27,"2,228",24.AÄu,4,6,10,4,0,0,2,0,0.16,0.24,0.40,0.16,0.40,Matches,hwang ui-jo,ui-jo hwang,ui-jo hwang,500 bin €
534,Oğulcan Ülgün,trÂ TUR,MF,Gençlerbirliği,27-357,1998,22,19,"1,425",15.AÄu,4,2,6,4,0,0,5,0,0.25,0.13,0.38,0.25,0.38,Matches,ogulcan ulgun,ogulcan ulgun,ogulcan ulgun,1.20 mil. €
535,Talha Ulvan,beÂ BEL,DF,Eyüpspor,25-013,2001,17,12,"1,076",12.0,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,Matches,talha ulvan,talha ulvan,talha ulvan,300 bin €
536,Cengiz Ünder,trÂ TUR,MF,Beşiktaş,28-293,1997,25,13,"1,119",12.Nis,5,3,8,4,1,2,2,0,0.4,0.24,0.64,0.32,0.56,Matches,cengiz under,cengiz under,cengiz under,6.00 mil. €
543,Dal Varesanovic,baÂ BIH,MF,Gençlerbirliği,24-345,2001,12,3,288,3.Åub,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,Matches,dal varesanovic,dal varesanovic,dal varesanovic,1.50 mil. €
545,Ricardo Velho,ptÂ POR,GK,Gençlerbirliği,27-256,1998,20,20,"1,8",20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,Matches,ricardo velho,ricardo velho,ricardo velho,2.50 mil. €
548,Paulo Victor Vidotti,brÂ BRA,GK,Alanyaspor,39-111,1987,11,11,990,11.0,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,paulo victor vidotti,paulo victor,paulo victor,50 bin €
552,Cláudio Winck,brÂ BRA,DF,Kasımpaşa,32-018,1994,26,25,"2,211",24.Haz,3,1,4,3,0,0,6,0,0.12,0.04,0.16,0.12,0.16,Matches,claudio winck,claudio winck,claudio winck,800 bin €
554,Güven Yalçın,trÂ TUR,"FW,MF",Alanyaspor,27-105,1999,25,11,917,10.Åub,8,0,8,7,1,1,2,0,0.79,0.0,0.79,0.69,0.69,Matches,guven yalcın,guven yalcın,guven yalcın,1.00 mil. €
556,Samet Yalçın,,MF,Kocaelispor,32-061,1994,12,3,267,3.0,0,0,0,0,0,0,0,1,0.0,0.0,0.00,0.00,0.00,Matches,samet yalcın,samet yalcın,samet yalcın,250 bin €
558,Karahan Yasir Subaşı,trÂ TUR,"DF,MF",Konyaspor,30-122,1996,10,4,409,4.May,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,Matches,karahan yasir subası,yasir subası,yasir subası,100 bin €
559,Zeki Yavru,trÂ TUR,DF,Samsunspor,34-240,1991,26,24,"1,934",21.May,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.00,0.05,Matches,zeki yavru,zeki yavru,zeki yavru,300 bin €
562,Ali Yavuz Kol,trÂ TUR,MF,Kasımpaşa,25-094,2001,23,5,715,7.Eyl,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,ali yavuz kol,ali yavuz kol,ali yavuz kol,300 bin €
563,Uğurcan Yazgılı,trÂ TUR,DF,Konyaspor,27-024,1999,25,23,"1,956",21.Tem,0,1,1,0,0,0,9,0,0.0,0.05,0.05,0.00,0.05,Matches,ugurcan yazgılı,ugurcan yazgılı,ugurcan yazgılı,1.20 mil. €
565,Abdullah Yiğiter,,GK,Antalyaspor,26-090,2000,12,12,"1,08",12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.00,0.00,0.00,Matches,abdullah yigiter,abdullah yigiter,abdullah yigiter,400 bin €
566,Bertuğ Yıldırım,trÂ TUR,FW,Başakşehir,23-295,2002,18,4,538,6.0,7,1,8,7,0,0,2,0,,0.17,Oca.34,Oca.17,Oca.34,Matches,bertug yıldırım,bertug yıldırım,bertug yıldırım,4.00 mil. €
568,Engin Yıldırım,trÂ TUR,FW,Antalyaspor,21-108,2005,10,0,158,1.AÄu,0,0,0,0,0,0,1,0,0.0,0.0,0.00,0.00,0.00,Matches,engin yıldırım,ege yıldırım,ege yıldırım,50 bin €
570,Jankat Yilmaz,trÂ TUR,GK,Eyüpspor,21-260,2004,11,11,990,11.0,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,jankat yilmaz,jankat yılmaz,jankat yılmaz,800 bin €
571,Kartal Yılmaz,trÂ TUR,MF,Beşiktaş,25-180,2000,13,5,518,5.AÄu,0,1,1,0,0,0,2,0,0.0,0.17,0.17,0.00,0.17,Matches,kartal yılmaz,kartal yılmaz,kartal yılmaz,2.50 mil. €
573,Rıdvan Yılmaz,trÂ TUR,DF,Beşiktaş,24-347,2001,23,22,"1,984",22.0,0,0,0,0,0,0,4,0,0.0,0.0,0.00,0.00,0.00,Matches,rıdvan yılmaz,rıdvan yılmaz,rıdvan yılmaz,4.00 mil. €
574,Okay Yokuşlu,trÂ TUR,"MF,DF",Trabzonspor,32-055,1994,22,10,889,9.Eyl,1,0,1,1,0,0,1,1,0.1,0.0,0.10,0.10,0.10,Matches,okay yokuslu,okay yokuslu,okay yokuslu,1.50 mil. €
575,İsmail Yüksek,trÂ TUR,MF,Fenerbahçe,27-097,1999,28,18,"1,65",18.Mar,1,1,2,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,Matches,ismail yuksek,ismail yuksek,ismail yuksek,15.00 mil. €
576,Celil Yüksel,trÂ TUR,MF,Samsunspor,28-122,1998,20,14,"1,155",12.AÄu,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.00,0.08,Matches,celil yuksel,celil yuksel,celil yuksel,800 bin €
578,Altin Zeqiri,xkÂ KVX,"MF,FW",Rizespor,25-289,2000,23,5,704,7.AÄu,1,0,1,1,0,0,3,0,0.13,0.0,0.13,0.13,0.13,Matches,altin zeqiri,altin zeqiri,altin zeqiri,1.20 mil. €
579,Oleksandr Zubkov,uaÂ UKR,MF,Trabzonspor,29-273,1996,29,24,"2,081",23.Oca,3,6,9,3,0,0,1,0,0.13,0.26,0.39,0.13,0.39,Matches,oleksandr zubkov,oleksandr zubkov,oleksandr zubkov,7.00 mil. €
580,Žan Žužek,siÂ SVN,"DF,MF",Gençlerbirliği,29-097,1997,30,28,"2,47",27.Nis,2,0,2,2,0,0,4,0,0.07,0.0,0.07,0.07,0.07,Matches,zan zuzek,zan zuzek,zan zuzek,700 bin €
581,Mateusz Łęgowski,plÂ POL,"MF,FW",Eyüpspor,23-094,2003,23,15,"1,298",14.Nis,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches,mateusz łegowski,mateusz legowski,mateusz legowski,2.00 mil. €
