Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,isim_temiz_x,isim_temiz_fuzzy,isim_temiz_y,Piyasa_Degeri
302,Can Keles,atÂ AUT,"FW,MF",Kocaelispor,24-243,2001,22,7,711,7.Eyl,0,1,1,0,0,0,2,1,0.0,0.13,0.13,0.00,0.13,Matches,can keles,can keles,can keles,1.50 mil. €
303,Thalisson Kelven,brÂ BRA,DF,Gençlerbirliği,27-361,1998,29,28,"2,526",28.Oca,2,0,2,2,0,0,7,2,0.07,0.0,0.07,0.07,0.07,Matches,thalisson kelven,thalisson,thalisson,700 bin €
304,Olivier Kemen,cmÂ CMR,MF,Başakşehir,29-287,1996,27,24,"2,115",23.May,0,3,3,0,0,0,5,0,0.0,0.13,0.13,0.00,0.13,Matches,olivier kemen,olivier kemen,olivier kemen,2.50 mil. €
305,Enes Keskin,,MF,Alanyaspor,24-333,2001,19,5,595,6.Haz,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.00,0.15,Matches,enes keskin,enes keskin,enes keskin,400 bin €
307,Emre Kılınç,trÂ TUR,"MF,FW",Samsunspor,31-253,1994,16,14,"1,189",13.Åub,1,5,6,1,0,0,6,0,0.08,0.38,0.45,0.08,0.45,Matches,emre kılınc,emre kılınc,emre kılınc,1.20 mil. €
308,Arda Kızıldağ,trÂ TUR,DF,Gaziantep FK,27-200,1998,24,21,"1,674",18.Haz,1,0,1,1,0,0,8,0,0.05,0.0,0.05,0.05,0.05,Matches,arda kızıldag,arda kızıldag,arda kızıldag,900 bin €
310,Okan Kocuk,trÂ TUR,GK,Samsunspor,30-280,1995,29,29,"2,61",29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.00,0.00,0.00,Matches,okan kocuk,okan kocuk,okan kocuk,2.20 mil. €
311,Sekou Koita,mlÂ MLI,"MF,FW",Gençlerbirliği,26-156,1999,25,20,"1,616",18.0,6,0,6,6,0,0,3,2,0.33,0.0,0.33,0.33,0.33,Matches,sekou koita,sekou koita,sekou koita,3.00 mil. €
312,Orkun Kökçü,trÂ TUR,MF,Beşiktaş,25-125,2000,28,27,"2,294",25.May,7,7,14,6,1,1,5,2,0.27,0.27,0.55,0.24,0.51,Matches,orkun kokcu,orkun kokcu,orkun kokcu,25.00 mil. €
316,Kacper Kozłowski,plÂ POL,"MF,FW",Gaziantep FK,22-199,2003,29,28,"2,47",27.Nis,6,2,8,6,0,0,6,0,0.22,0.07,0.29,0.22,0.29,Matches,kacper kozłowski,kacper kozlowski,kacper kozlowski,5.00 mil. €
317,Blaž Kramer,siÂ SVN,FW,Konyaspor,29-336,1996,11,7,663,7.Nis,5,0,5,5,0,0,4,0,0.68,0.0,0.68,0.68,0.68,Matches,blaz kramer,blaz kramer,blaz kramer,900 bin €
318,Matías Kranevitter,arÂ ARG,MF,Fatih Karagümrük,32-347,1993,20,19,"1,533",17.0,1,0,1,1,0,0,5,1,0.06,0.0,0.06,0.06,0.06,Matches,matias kranevitter,matias kranevitter,matias kranevitter,700 bin €
319,Filip Krastev,bgÂ BUL,MF,Göztepe,24-200,2001,11,5,490,5.Nis,0,1,1,0,0,0,1,0,0.0,0.18,0.18,0.00,0.18,Matches,filip krastev,filip krastev,filip krastev,3.50 mil. €
321,Arda Kurtulan,alÂ ALB,MF,Göztepe,23-165,2002,29,25,"2,251",25.0,4,2,6,4,0,0,6,0,0.16,0.08,0.24,0.16,0.24,Matches,arda kurtulan,arda okan kurtulan,arda okan kurtulan,5.00 mil. €
323,Çağtay Kurukalıp,trÂ TUR,DF,Fatih Karagümrük,24-068,2002,22,12,"1,097",12.Åub,0,2,2,0,0,0,1,0,0.0,0.16,0.16,0.00,0.16,Matches,cagtay kurukalıp,cagtay kurukalıp,cagtay kurukalıp,600 bin €
325,Berkan Kutlu,trÂ TUR,"MF,DF",Konyaspor,28-098,1998,13,12,"1,054",11.Tem,2,0,2,2,0,0,3,0,0.17,0.0,0.17,0.17,0.17,Matches,berkan kutlu,berkan kutlu,berkan kutlu,2.00 mil. €
328,Qazim Laçi,alÂ ALB,MF,Rizespor,30-104,1996,30,30,"2,502",27.AÄu,7,9,16,4,3,3,6,1,0.25,0.32,0.58,0.14,0.47,Matches,qazim laci,qazim laci,qazim laci,2.80 mil. €
329,Mohamed Lamine Bayo,gnÂ GUI,FW,Gaziantep FK,27-333,1998,27,26,"2,159",24.0,14,3,17,14,0,1,1,0,0.58,0.13,0.71,0.58,0.71,Matches,mohamed lamine bayo,mohamed bayo,mohamed bayo,4.00 mil. €
330,Noa Lang,nlÂ NED,MF,Galatasaray,26-320,1999,11,6,568,6.Mar,0,2,2,0,0,0,1,0,0.0,0.32,0.32,0.00,0.32,Matches,noa lang,noa lang,noa lang,25.00 mil. €
