Player,Takim,Piyasa_Degeri,isim_temiz
Furkan Bekleviç,Fatih-Karagumruk,250 bin €,furkan beklevic
Kerem Yandal,Fatih-Karagumruk,-,kerem yandal
Berke Can Evli,Fatih-Karagumruk,-,berke can evli
Igor Lichnovsky,Fatih-Karagumruk,800 bin €,igor lichnovsky
Davide Biraschi,Fatih-Karagumruk,400 bin €,davide biraschi
Fatih Kurucuk,Fatih-Karagumruk,250 bin €,fatih kurucuk
Anıl Yiğit Çınar,Fatih-Karagumruk,200 bin €,anıl yigit cınar
Burhan Ersoy,Fatih-Karagumruk,100 bin €,burhan ersoy
Muhammed Kadıoğlu,Fatih-Karagumruk,100 bin €,muhammed kadıoglu
Çağtay Kurukalıp,Fatih-Karagumruk,600 bin €,cagtay kurukalıp
Filip Mladenovic,Fatih-Karagumruk,400 bin €,filip mladenovic
Ricardo Esgaio,Fatih-Karagumruk,800 bin €,ricardo esgaio
Bartuğ Elmaz,Fatih-Karagumruk,1.50 mil. €,bartug elmaz
Matías Kranevitter,Fatih-Karagumruk,700 bin €,matias kranevitter
Yaya Onogo,Fatih-Karagumruk,-,yaya onogo
Berkay Özcan,Fatih-Karagumruk,1.50 mil. €,berkay ozcan
Daniel Johnson,Fatih-Karagumruk,350 bin €,daniel johnson
Tuğbey Akgün,Fatih-Karagumruk,100 bin €,tugbey akgun
Sam Larsson,Fatih-Karagumruk,700 bin €,sam larsson
Serginho,Fatih-Karagumruk,600 bin €,serginho
Barış Kalaycı,Fatih-Karagumruk,600 bin €,barıs kalaycı
Ahmet Sivri,Fatih-Karagumruk,250 bin €,ahmet sivri
Shavy Babicka,Fatih-Karagumruk,1.50 mil. €,shavy babicka
Daniele Verde,Fatih-Karagumruk,700 bin €,daniele verde
João Camacho,Fatih-Karagumruk,300 bin €,joao camacho
Ahmed Traore,Fatih-Karagumruk,250 bin €,ahmed traore
Tarık Buğra Kalpaklı,Fatih-Karagumruk,200 bin €,tarık bugra kalpaklı
Tiago Çukur,Fatih-Karagumruk,400 bin €,tiago cukur
Moussa Kone,Fatih-Karagumruk,100 bin €,moussa kone
